cohort_week,week_0,week_1,week_2,week_3,week_4,week_5,week_6
2020-11-01,20078,18923,18088,17664,17445,17205,17011
2020-11-08,16244,15310,14533,14253,14045,13843,13746
2020-11-15,17924,16890,16166,15822,15581,15423,15348
2020-11-22,19911,18848,18022,17653,17416,17322,17298
2020-11-29,22278,21137,20167,19787,19663,19616,19557
2020-12-06,28490,27136,26267,26033,25959,25829,25758
2020-12-13,25533,24452,23805,23731,23612,23522,23460
2020-12-20,18101,17517,17218,17107,17023,16955,16908
2020-12-27,17059,16526,16136,15967,15869,15774,15770
2021-01-03,23290,22418,21747,21485,21315,21302,0
2021-01-10,21793,20926,20244,19987,19971,0,0
2021-01-17,21052,20107,19286,19252,0,0,0
2021-01-24,19977,18937,18743,0,0,0,0
2021-01-31,2255,2255,0,0,0,0,0
